domain,dimension,label,code,parent_1,parent_2,definition,definition_suggested,source
Mitigation,Type of measure: instruments,Smart charging policies,I_Smartcharging,C_Electrification,P_Electric,Smart charging refers to systems that optimize electric vehicle charging by prioritizing off-peak hours or times of high variable renewable feed-in.,,
Mitigation,Type of measure: instruments,General micromobility,S_Micromobility,C_Electrification,P_Electric,"Micromobility refers to electric personal transportation devices, such as electric kick-scooters and other electric-powered devices, not covered under shared mobility.",,
Mitigation,Type of measure: instruments,General alternative fuels measures,I_Altfuels,C_Fuels,P_Altfuel,Any general reference to the use of alternative fuels in the transport sector is recorded here.,,
Mitigation,Type of measure: instruments,Low emission vehicle purchase incentives,I_Lowemissionincentive,C_Fuels,P_Altfuel,This parameter refers to purchase incentives granted to consumers for lower emission vehicles (excluding electric and hybrid vehicles).,,
Mitigation,Type of measure: instruments,Biofuels support measures,I_Biofuel,C_Fuels,P_Altfuel,"Conventional diesel and gasoline can be mixed with less carbon-intense fuels. Many national governments set blending mandates (for example, 10% or 20% of diesel has to be biofuel). The most common biofule is ethanol. Any general biofuel blending mandates as well as specific methons of ethanol (or other biofuls) are covered here.",Conventional diesel and gasoline can be blended with less carbon-intensive fuels. Many national governments set blending mandates (e.g. 10% or 20% biofuel). The most common biofuel is ethanol. General biofuel blending mandates as well as specific mentions of ethanol (or other biofuels) are covered here.,
Mitigation,Type of measure: instruments,Hydrogen support measures,I_Hydrogen,C_Fuels,P_Altfuel,This parameter refers to this  relatively new fuel in the transport sector; hydrogen is used in fuel-cell electric vehicles. Green hydrogen that is produced using renewable electricity is seen as one important component of the energy transition in transport.,,
Mitigation,Type of measure: instruments,LPG/CNG/LNG support measures,I_LPGCNGLNG,C_Fuels,P_Altfuel,"This parameter is for measures that refer to liquified petroleum gas (LPG), compressed natural gas (CNG) or liquified natural gas (LNG) in the transport sector.",,
Mitigation,Type of measure: instruments,General renewable energy support measures,I_RE,C_Fuels,P_Altfuel,"Renewable energy for transport looks at the use of biofuels, green hydrogen and green electricity. This parameter captures any actions that make a direct link between transport and renewables.",,
Mitigation,Type of measure: instruments,Aircraft fleet renovation,I_Aircraftfleet,C_Innovation,P_Aviation,Newer aircraft are generally more energy efficient. This parameter refers to activities designed to renew the aircraft fleet or only allow newer aircraft to operate.,,
Mitigation,Type of measure: instruments,Air traffic management,I_Airtraffic,C_Innovation,P_Aviation,Any measures that focus on improving air traffic are referred to here.,,
Mitigation,Type of measure: instruments,General aviation improvements,I_Aviation,C_Innovation,P_Aviation,Any general measures that focus on the aviation sector are referred to here.,,
Mitigation,Type of measure: instruments,Airport CO2 certification,I_CO2certificate,C_Innovation,P_Aviation,CO2 certification systems aim to mitigate greenhouse gas emissions by airports and ground operations. This parameter is for initiatives designed to improve the energy efficiency and carbon footprint of airports.,,
